source_file,substation,raw_segment
31.pdf,Смілянське відділення,населення
31.pdf,Смілянське відділення,населення
31.pdf,Смілянське відділення,населення
31.pdf,Смілянське відділення,Дитсадок
31.pdf,"СТ ""ЛІСНЕ"", Філія ""Черкаське лісове господарство Спеціалізованого господарського",школа
31.pdf,"СТ ""ЛІСНЕ"", Філія ""Черкаське лісове господарство Спеціалізованого господарського",лікарня
31.pdf,"СТ ""ЛІСНЕ"", Філія ""Черкаське лісове господарство Спеціалізованого господарського",дит.садок
31.pdf,Чигиринська філія,Пушкіна
31.pdf,Чигиринська філія,П.Тетері
31.pdf,Чигиринська філія,Гоголя
31.pdf,Чигиринська філія,Ф.Коробки
31.pdf,Чигиринська філія,Кривоноса
31.pdf,Чигиринська філія,Кошового
31.pdf,Чигиринська філія,Перемоги
31.pdf,Чигиринська філія,Шкільний
31.pdf,Чигиринська філія,Дубового
31.pdf,Чигиринська філія,А.Чекаля
31.pdf,Чигиринська філія,П.Похила
31.pdf,Чигиринська філія,родини
31.pdf,Чигиринська філія,П.Тетері
31.pdf,Чигиринська філія,Йосипа
31.pdf,Чигиринська філія,Чехова
31.pdf,Чигиринська філія,Я.Щириці
31.pdf,Чигиринська філія,Богуна
31.pdf,Чорнобаївська філія,Вороненці
31.pdf,Шполянська філія,Соборна
31.pdf,Шполянська філія,Молодіжна
31.pdf,Шполянська філія,Зоряна
31.pdf,Шполянська філія,Селищна
31.pdf,Шполянська філія,Кравченка
31.pdf,Шполянська філія,Берегова
31.pdf,Шполянська філія,Зелена
31.pdf,Шполянська філія,Перемоги
31.pdf,Шполянська філія,Соборна
31.pdf,Шполянська філія,Влизька
31.pdf,Шполянська філія,Тур'яна
31.pdf,Шполянська філія,Малинова
31.pdf,Шполянська філія,Краєвидна
31.pdf,Шполянська філія,Садова
31.pdf,Шполянська філія,Свободи
31.pdf,Шполянська філія,Кожедуба
31.pdf,Шполянська філія,Шевченка
31.pdf,Шполянська філія,Лісова
31.pdf,Шполянська філія,Київська
31.pdf,Шполянська філія,Гоголя
31.pdf,Шполянська філія,Малинова
31.pdf,Шполянська філія,Краєвидна
31.pdf,Шполянська філія,Малинова
31.pdf,Шполянська філія,Науменка
31.pdf,Калинопільська філія,Д.П
31.pdf,Калинопільська філія,ще
31.pdf,Калинопільська філія,Єрки
31.pdf,Калинопільська філія,в. Дружби
31.pdf,Тальнівська філія,Кр.Коліна
31.pdf,Тальнівська філія,Піщана
31.pdf,Тальнівська філія,Чеснопіль
31.pdf,Тальнівська філія,Добрянка
31.pdf,Тальнівська філія,Лотошово
31.pdf,Тальнівська філія,Колодисте
31.pdf,Тальнівська філія,Залізниця
31.pdf,Черкаська міська філія,А
31.pdf,Черкаська міська філія,Г.Дніпра
31.pdf,Черкаська міська філія,Б
31.pdf,Черкаська міська філія,Шевченка
31.pdf,Черкаська міська філія,Житлово
31.pdf,Черкаська міська філія,АВЖБ
31.pdf,Черкаська міська філія,Житлово
31.pdf,Черкаська міська філія,Г.Дніпра
31.pdf,Черкаська міська філія,Жужоми
31.pdf,Черкаська міська філія,б
31.pdf,Черкаська міська філія,А
32.pdf,Канівська філія,Костенка
32.pdf,Канівська філія,Івана
32.pdf,Канівська філія,Колгоспна
32.pdf,Канівська філія,Дорошенка
32.pdf,Канівська філія,Пилипенка
32.pdf,Канівська філія,Чорновола
32.pdf,Канівська філія,Науменка
32.pdf,Канівська філія,Ліскова
32.pdf,Канівська філія,Миру
32.pdf,Канівська філія,Перемоги
32.pdf,Канівська філія,Церетелі
32.pdf,Канівська філія,Степова
32.pdf,Канівська філія,Дружби
32.pdf,Канівська філія,Миколи
32.pdf,Канівська філія,Лисенка
32.pdf,Канівська філія,Степова
32.pdf,Маньківська філія,Молодіжна
32.pdf,Маньківська філія,Кобця
32.pdf,Маньківська філія,Пушкіна
32.pdf,Маньківська філія,Мармур
32.pdf,Маньківська філія,ФО Фрей
32.pdf,Монастирищенська філія,населення
32.pdf,Монастирищенська філія,мережі
32.pdf,Монастирищенська філія,р
32.pdf,Монастирищенська філія,Бажана
32.pdf,Монастирищенська філія,Берегова
32.pdf,Монастирищенська філія,Дружби
32.pdf,Монастирищенська філія,Зелена
32.pdf,Монастирищенська філія,Канівська
32.pdf,Монастирищенська філія,Кармелюка
32.pdf,Монастирищенська філія,Каштанова
32.pdf,Монастирищенська філія,Корсунь
32.pdf,Монастирищенська філія,Лесі
32.pdf,Монастирищенська філія,Українки
32.pdf,Монастирищенська філія,Миру
32.pdf,Монастирищенська філія,Одеська
32.pdf,Монастирищенська філія,Пирогова
32.pdf,Монастирищенська філія,Південна
32.pdf,Монастирищенська філія,Піщана
32.pdf,Монастирищенська філія,Рєпіна
32.pdf,Монастирищенська філія,Річкова
32.pdf,Монастирищенська філія,Сонячна
32.pdf,Монастирищенська філія,Степова
32.pdf,Монастирищенська філія,Ігоря
32.pdf,Монастирищенська філія,Трояндова
32.pdf,Монастирищенська філія,Черкаська
32.pdf,Монастирищенська філія,Кобзарева
32.pdf,Монастирищенська філія,Шосейна
32.pdf,Монастирищенська філія,ша
32.pdf,Монастирищенська філія,тя Східна
32.pdf,Монастирищенська філія,Козацька
32.pdf,Монастирищенська філія,Горіхова
